NC_001422.1,Phage_F
NC_005818.1,Viral_coat
NC_002205.1,Flu_PB2
NC_002204.1,Flu_PB1
NC_001998.1,Phage_F Chlamy_scaf
NC_001442.1,T_Ag_DNA_bind Polyoma_coat2 Polyoma_lg_T_C Polyoma_coat
NC_001678.1,Late_protein_L1 PPV_E1_N E7 PPV_E1_C PPV_E2_C E6 Late_protein_L2 PPV_E2_N
NC_001829.1,Rep_N Parvo_coat_N Parvo_NS1 Parvo_coat
NC_001895.1,HTH_3 Phage_GPL Phage_TAC_7 Phage_tail_S DUF2732 Phage_lysozyme Phage_sheath_1 Phage_portal Phage_GPA DUF3751 P2_Phage_GpR Phage_cap_P2 Phage_term_smal Phage_integrase Phage_Cox GPW_gp25 Phage_fiber_2 HTH_23 Phage_P2_GpU Terminase_5 AAA_15 Phage_tail_X Phage_GPD Caudo_TAP zf-dskA_traR Ogr_Delta DUF5405 Tail_P2_I Phage_holin_3_2 DUF3850 Baseplate_J Phage_base_V Terminase_6C Phage_sheath_1C Phage_GPO Terminase_6 PhageMin_Tail Phage_tube
NC_001954.1,Phage_X Zot OrfB_IS605 OrfB_Zn_ribbon Secretin
NC_000866.4,Phage_fiber HNH DUF5417 dCMP_cyt_deam_1 HATPase_c Phage-tail_2 Fibritin_C DNA_ligase_A_M Phage_hub_GP28 Collar Phage_sheath_1C Gly_radical DNA_topoisoIV T4_Gp59_C Helicase_C Phage_30_8 DUF2774 Phage_T4_Ndd Phage_FRD3 Cpn10 Peptidase_S77 TOPRIM_C AAA_30 T4_neck-protein NUMOD1 DUF5484 Ribonuc_red_lgN UvsW Ribonuc_red_sm MotCF Fer4_12 Zn-ribbon_8 DUF2654 Phage_lysozyme Nuc-transf Phage_clamp_A Dmd Peptidase_S80 Endonuclease_7 Phage_sheath_1N Gp5_OB Toprim_N TK dUTPase_2 ATP-cone NRDD DUF5495 MethyltransfD12 Phage_DsbA Inhibitor_I24 DNA_pol_B DUF5481 ALP Phage-tail_1 Translat_reg Phage_head_chap PKD DUF2685 T4_Gp59_N gp12-short_mid RNA_ligase Soc DUF5491 Gp5_C DUF5051 5_3_exonuc_N Phage_gp53 T4_gp9_10 AAA_23 Gp67 GP11 DnaB_C Phage_sheath_1 ADPrib_exo_Tox Trans_coact DUF5498 Metallophos Ribonuc_red_lgC Phage-Gp8 FRD2 Phage_RpbA DUF3045 Terminase_6 AAA_33 DUF5490 Imm_superinfect Phage_holin_T AGT Phage_30_3 T4_tail_cap RecA DNA_Packaging NUDIX WYL_2 Terminase_6C DNA_gyraseB gp32 DUF4326 PAAR_motif GP57 DUF5499 Phage_T4_Gp30_7 Gp45_2 DUF5486 motB AAA ResIII DHFR_1 AsiA NUMOD3 SLT Phage_T4_gp36 Gp23 DUF5487 GPW_gp25 DNA_PPF DEAD Macro Thymidylat_synt Endonuc-dimeris DNA_pol_B_exo1 RNA_lig_T4_1 T4-gp15_tss MotA_activ S_tail_recep_bd IPI_T4 T4_baseplate Glutaredoxin RNaseH_C GIY-YIG UvsY ILEI Pyr_excise DUF5496 gp45-slide_C Phage_T4_gp19 REGB_T4
